

=============================================================
11:11:51 1.5.9.0> Abrindo Tela de Login
11:12:02 1.5.9.0> Login realizado como: teste


=============================================================
11:12:13 1.5.9.0> Current Device Count: 1
11:12:15 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:13:22 1.5.9.0> Device Error: Sucesso
11:13:22 1.5.9.0> Device Error: Sucesso
11:13:22 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:23 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:24 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:25 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:26 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:27 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:28 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:29 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:30 1.5.9.0> Device Error: Sucesso
11:13:31 1.5.9.0> Device Error: Sucesso
11:13:31 1.5.9.0> Fim da Captura[Error: Estourou o tempo para captura biométrica]


=============================================================
11:13:52 1.5.9.0> Current Device Count: 1
11:13:53 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:14:16 1.5.9.0> Iniciando Captura
11:14:16 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:17 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:18 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:19 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:20 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:21 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:22 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:23 1.5.9.0> Device Error: Sucesso
11:14:24 1.5.9.0> Device Error: Sucesso
11:14:24 1.5.9.0> Device Error: Sucesso
11:14:24 1.5.9.0> Device Error: Sucesso
11:14:24 1.5.9.0> Device Error: Sucesso
11:14:24 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:25 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Device Error: Sucesso
11:14:26 1.5.9.0> Fim da Captura[Error: Estourou o tempo para captura biométrica]


=============================================================
11:16:44 1.5.9.0> Abrindo Tela de Login
11:16:51 1.5.9.0> Login realizado como: teste


=============================================================
11:17:28 1.5.9.0> Current Device Count: 1
11:17:30 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:17:44 1.5.9.0> Iniciando Captura
11:17:44 1.5.9.0> Device Error: Sucesso
11:17:44 1.5.9.0> Device Error: Sucesso
11:17:44 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:45 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:46 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:47 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:48 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:49 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:50 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:51 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:52 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:53 1.5.9.0> Device Error: Sucesso
11:17:54 1.5.9.0> Device Error: Sucesso
11:17:54 1.5.9.0> Device Error: Sucesso
11:17:54 1.5.9.0> Device Error: Sucesso
11:17:54 1.5.9.0> Device Error: Sucesso
11:17:54 1.5.9.0> Fim da Captura[Error: Estourou o tempo para captura biométrica]
11:18:11 1.5.9.0> Iniciando Captura
11:18:11 1.5.9.0> Device Error: Sucesso
11:18:11 1.5.9.0> Device Error: Sucesso
11:18:11 1.5.9.0> Device Error: Sucesso
11:18:11 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:12 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:13 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:14 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:15 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:16 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:17 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:18 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:19 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:20 1.5.9.0> Device Error: Sucesso
11:18:21 1.5.9.0> Device Error: Sucesso
11:18:21 1.5.9.0> Device Error: Sucesso
11:18:21 1.5.9.0> Device Error: Sucesso
11:18:21 1.5.9.0> Device Error: Sucesso
11:18:21 1.5.9.0> Fim da Captura[Error: Estourou o tempo para captura biométrica]


=============================================================
11:32:12 1.5.9.0> Abrindo Tela de Login
11:32:26 1.5.9.0> Login realizado como: teste


=============================================================
11:32:30 1.5.9.0> Current Device Count: 1
11:32:31 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2



=============================================================
11:34:04 1.5.9.0> Current Device Count: 1
11:34:05 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:35:13 1.5.9.0> Iniciando Captura
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:13 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:14 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:15 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:16 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:17 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:18 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:19 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
